"Year","Conference","Team"
1956,"Independent","Air Force (CO)"
1957,"Independent","Air Force (CO)"
1958,"Independent","Air Force (CO)"
1959,"Independent","Air Force (CO)"
1960,"Independent","Air Force (CO)"
1961,"Independent","Air Force (CO)"
1962,"Independent","Air Force (CO)"
1963,"Independent","Air Force (CO)"
1964,"Independent","Air Force (CO)"
1965,"Independent","Air Force (CO)"
1966,"Independent","Air Force (CO)"
1967,"Independent","Air Force (CO)"
1968,"Independent","Air Force (CO)"
1969,"Independent","Air Force (CO)"
1970,"Independent","Air Force (CO)"
1971,"Independent","Air Force (CO)"
1972,"Independent","Air Force (CO)"
1973,"Division I Independent","Air Force (CO)"
1974,"Division I Independent","Air Force (CO)"
1975,"Division I Independent","Air Force (CO)"
1976,"Division I Independent","Air Force (CO)"
1977,"Division I Independent","Air Force (CO)"
1978,"Division I-A Independent","Air Force (CO)"
1979,"Division I-A Independent","Air Force (CO)"
1980,"Western Athletic Conference","Air Force (CO)"
1981,"Western Athletic Conference","Air Force (CO)"
1982,"Western Athletic Conference","Air Force (CO)"
1983,"Western Athletic Conference","Air Force (CO)"
1984,"Western Athletic Conference","Air Force (CO)"
1985,"Western Athletic Conference","Air Force (CO)"
1986,"Western Athletic Conference","Air Force (CO)"
1987,"Western Athletic Conference","Air Force (CO)"
1988,"Western Athletic Conference","Air Force (CO)"
1989,"Western Athletic Conference","Air Force (CO)"
1990,"Western Athletic Conference","Air Force (CO)"
1991,"Western Athletic Conference","Air Force (CO)"
1992,"Western Athletic Conference","Air Force (CO)"
1993,"Western Athletic Conference","Air Force (CO)"
1994,"Western Athletic Conference","Air Force (CO)"
1995,"Western Athletic Conference","Air Force (CO)"
1996,"Western Athletic Conference","Air Force (CO)"
1997,"Western Athletic Conference","Air Force (CO)"
1998,"Western Athletic Conference","Air Force (CO)"
1999,"Mountain West Conference","Air Force (CO)"
2000,"Mountain West Conference","Air Force (CO)"
2001,"Mountain West Conference","Air Force (CO)"
2002,"Mountain West Conference","Air Force (CO)"
2003,"Mountain West Conference","Air Force (CO)"
2004,"Mountain West Conference","Air Force (CO)"
2005,"Mountain West Conference","Air Force (CO)"
2006,"Mountain West Conference","Air Force (CO)"
2007,"Mountain West Conference","Air Force (CO)"
2008,"Mountain West Conference","Air Force (CO)"
2009,"Mountain West Conference","Air Force (CO)"
2010,"Mountain West Conference","Air Force (CO)"
2011,"Mountain West Conference","Air Force (CO)"
2012,"Mountain West Conference","Air Force (CO)"
2013,"Mountain West Conference","Air Force (CO)"
1891,"Independent","Akron (OH)"
1892,"Independent","Akron (OH)"
1893,"Independent","Akron (OH)"
1894,"Independent","Akron (OH)"
1895,"Independent","Akron (OH)"
1896,"Independent","Akron (OH)"
1897,"Independent","Akron (OH)"
1898,"Independent","Akron (OH)"
1899,"Independent","Akron (OH)"
1900,"Independent","Akron (OH)"
1901,"Independent","Akron (OH)"
1902,"Independent","Akron (OH)"
1903,"Independent","Akron (OH)"
1904,"Independent","Akron (OH)"
1905,"Independent","Akron (OH)"
1906,"Independent","Akron (OH)"
1907,"Independent","Akron (OH)"
1908,"Independent","Akron (OH)"
1909,"Independent","Akron (OH)"
1910,"Independent","Akron (OH)"
1911,"Independent","Akron (OH)"
1912,"Independent","Akron (OH)"
1913,"Independent","Akron (OH)"
1914,"Independent","Akron (OH)"
1915,"Ohio Athletic Conference","Akron (OH)"
1916,"Ohio Athletic Conference","Akron (OH)"
1917,"Ohio Athletic Conference","Akron (OH)"
1918,"Ohio Athletic Conference","Akron (OH)"
1919,"Ohio Athletic Conference","Akron (OH)"
1920,"Ohio Athletic Conference","Akron (OH)"
1921,"Ohio Athletic Conference","Akron (OH)"
1922,"Ohio Athletic Conference","Akron (OH)"
1923,"Ohio Athletic Conference","Akron (OH)"
1924,"Ohio Athletic Conference","Akron (OH)"
1925,"Ohio Athletic Conference","Akron (OH)"
1926,"Ohio Athletic Conference","Akron (OH)"
1927,"Ohio Athletic Conference","Akron (OH)"
1928,"Ohio Athletic Conference","Akron (OH)"
1929,"Ohio Athletic Conference","Akron (OH)"
1930,"Ohio Athletic Conference","Akron (OH)"
1931,"Ohio Athletic Conference","Akron (OH)"
1932,"Ohio Athletic Conference","Akron (OH)"
1933,"Ohio Athletic Conference","Akron (OH)"
1934,"Ohio Athletic Conference","Akron (OH)"
1935,"Ohio Athletic Conference","Akron (OH)"
1936,"Ohio Athletic Conference","Akron (OH)"
1937,"Independent","Akron (OH)"
1938,"Independent","Akron (OH)"
1939,"Independent","Akron (OH)"
1940,"Independent","Akron (OH)"
1941,"Independent","Akron (OH)"
1942,"Independent","Akron (OH)"
1943,"Independent","Akron (OH)"
1944,"Independent","Akron (OH)"
1945,"Independent","Akron (OH)"
1946,"Ohio Athletic Conference","Akron (OH)"
1947,"Ohio Athletic Conference","Akron (OH)"
1948,"Ohio Athletic Conference","Akron (OH)"
1949,"Ohio Athletic Conference","Akron (OH)"
1950,"Ohio Athletic Conference","Akron (OH)"
1951,"Ohio Athletic Conference","Akron (OH)"
1952,"Ohio Athletic Conference","Akron (OH)"
1953,"Ohio Athletic Conference","Akron (OH)"
1954,"Ohio Athletic Conference","Akron (OH)"
1955,"Ohio Athletic Conference","Akron (OH)"
1956,"Ohio Athletic Conference","Akron (OH)"
1957,"Ohio Athletic Conference","Akron (OH)"
1958,"Ohio Athletic Conference","Akron (OH)"
1959,"Ohio Athletic Conference","Akron (OH)"
1960,"Ohio Athletic Conference","Akron (OH)"
1961,"Ohio Athletic Conference","Akron (OH)"
1962,"Ohio Athletic Conference","Akron (OH)"
1963,"Ohio Athletic Conference","Akron (OH)"
1964,"Ohio Athletic Conference","Akron (OH)"
1965,"Ohio Athletic Conference","Akron (OH)"
1966,"Independent","Akron (OH)"
1967,"Independent","Akron (OH)"
1968,"Independent","Akron (OH)"
1969,"Independent","Akron (OH)"
1970,"Independent","Akron (OH)"
1971,"Independent","Akron (OH)"
1972,"Independent","Akron (OH)"
1973,"Division II Independent","Akron (OH)"
1974,"Division II Independent","Akron (OH)"
1975,"Division II Independent","Akron (OH)"
1976,"Division II Independent","Akron (OH)"
1977,"Division II Independent","Akron (OH)"
1978,"Mid-Continent Conference","Akron (OH)"
1979,"Mid-Continent Conference","Akron (OH)"
1980,"Ohio Valley Conference","Akron (OH)"
1981,"Ohio Valley Conference","Akron (OH)"
1982,"Ohio Valley Conference","Akron (OH)"
1983,"Ohio Valley Conference","Akron (OH)"
1984,"Ohio Valley Conference","Akron (OH)"
1985,"Ohio Valley Conference","Akron (OH)"
1986,"Ohio Valley Conference","Akron (OH)"
1987,"Division I-A Independent","Akron (OH)"
1988,"Division I-A Independent","Akron (OH)"
1989,"Division I-A Independent","Akron (OH)"
1990,"Division I-A Independent","Akron (OH)"
1991,"Division I-A Independent","Akron (OH)"
1992,"Mid-American Conference","Akron (OH)"
1993,"Mid-American Conference","Akron (OH)"
1994,"Mid-American Conference","Akron (OH)"
1995,"Mid-American Conference","Akron (OH)"
1996,"Mid-American Conference","Akron (OH)"
1997,"Mid-American Conference","Akron (OH)"
1998,"Mid-American Conference","Akron (OH)"
1999,"Mid-American Conference","Akron (OH)"
2000,"Mid-American Conference","Akron (OH)"
2001,"Mid-American Conference","Akron (OH)"
2002,"Mid-American Conference","Akron (OH)"
2003,"Mid-American Conference","Akron (OH)"
2004,"Mid-American Conference","Akron (OH)"
2005,"Mid-American Conference","Akron (OH)"
2006,"Mid-American Conference","Akron (OH)"
2007,"Mid-American Conference","Akron (OH)"
2008,"Mid-American Conference","Akron (OH)"
2009,"Mid-American Conference","Akron (OH)"
2010,"Mid-American Conference","Akron (OH)"
2011,"Mid-American Conference","Akron (OH)"
2012,"Mid-American Conference","Akron (OH)"
2013,"Mid-American Conference","Akron (OH)"
1892,"Independent","Alabama"
1893,"Independent","Alabama"
1894,"Independent","Alabama"
1895,"Southern Intercollegiate Athletic Association","Alabama"
1896,"Southern Intercollegiate Athletic Association","Alabama"
1897,"Southern Intercollegiate Athletic Association","Alabama"
1898,"Southern Intercollegiate Athletic Association","Alabama"
1899,"Southern Intercollegiate Athletic Association","Alabama"
1900,"Southern Intercollegiate Athletic Association","Alabama"
1901,"Southern Intercollegiate Athletic Association","Alabama"
1902,"Southern Intercollegiate Athletic Association","Alabama"
1903,"Southern Intercollegiate Athletic Association","Alabama"
1904,"Southern Intercollegiate Athletic Association","Alabama"
1905,"Southern Intercollegiate Athletic Association","Alabama"
1906,"Southern Intercollegiate Athletic Association","Alabama"
1907,"Southern Intercollegiate Athletic Association","Alabama"
1908,"Southern Intercollegiate Athletic Association","Alabama"
1909,"Southern Intercollegiate Athletic Association","Alabama"
1910,"Southern Intercollegiate Athletic Association","Alabama"
1911,"Southern Intercollegiate Athletic Association","Alabama"
1912,"Southern Intercollegiate Athletic Association","Alabama"
1913,"Southern Intercollegiate Athletic Association","Alabama"
1914,"Southern Intercollegiate Athletic Association","Alabama"
1915,"Southern Intercollegiate Athletic Association","Alabama"
1916,"Southern Intercollegiate Athletic Association","Alabama"
1917,"Southern Intercollegiate Athletic Association","Alabama"
1918,"Southern Intercollegiate Athletic Association","Alabama"
1919,"Southern Intercollegiate Athletic Association","Alabama"
1920,"Southern Intercollegiate Athletic Association","Alabama"
1921,"Southern Intercollegiate Athletic Association","Alabama"
1922,"Southern Conference","Alabama"
1923,"Southern Conference","Alabama"
1924,"Southern Conference","Alabama"
1925,"Southern Conference","Alabama"
1926,"Southern Conference","Alabama"
1927,"Southern Conference","Alabama"
1928,"Southern Conference","Alabama"
1929,"Southern Conference","Alabama"
1930,"Southern Conference","Alabama"
1931,"Southern Conference","Alabama"
1932,"Southern Conference","Alabama"
1933,"Southeastern Conference","Alabama"
1934,"Southeastern Conference","Alabama"
1935,"Southeastern Conference","Alabama"
1936,"Southeastern Conference","Alabama"
1937,"Southeastern Conference","Alabama"
1938,"Southeastern Conference","Alabama"
1939,"Southeastern Conference","Alabama"
1940,"Southeastern Conference","Alabama"
1941,"Southeastern Conference","Alabama"
1942,"Southeastern Conference","Alabama"
1943,"Southeastern Conference","Alabama"
1944,"Southeastern Conference","Alabama"
1945,"Southeastern Conference","Alabama"
1946,"Southeastern Conference","Alabama"
1947,"Southeastern Conference","Alabama"
1948,"Southeastern Conference","Alabama"
1949,"Southeastern Conference","Alabama"
1950,"Southeastern Conference","Alabama"
1951,"Southeastern Conference","Alabama"
1952,"Southeastern Conference","Alabama"
1953,"Southeastern Conference","Alabama"
1954,"Southeastern Conference","Alabama"
1955,"Southeastern Conference","Alabama"
1956,"Southeastern Conference","Alabama"
1957,"Southeastern Conference","Alabama"
1958,"Southeastern Conference","Alabama"
1959,"Southeastern Conference","Alabama"
1960,"Southeastern Conference","Alabama"
1961,"Southeastern Conference","Alabama"
1962,"Southeastern Conference","Alabama"
1963,"Southeastern Conference","Alabama"
1964,"Southeastern Conference","Alabama"
1965,"Southeastern Conference","Alabama"
1966,"Southeastern Conference","Alabama"
1967,"Southeastern Conference","Alabama"
1968,"Southeastern Conference","Alabama"
1969,"Southeastern Conference","Alabama"
1970,"Southeastern Conference","Alabama"
1971,"Southeastern Conference","Alabama"
1972,"Southeastern Conference","Alabama"
1973,"Southeastern Conference","Alabama"
1974,"Southeastern Conference","Alabama"
1975,"Southeastern Conference","Alabama"
1976,"Southeastern Conference","Alabama"
1977,"Southeastern Conference","Alabama"
1978,"Southeastern Conference","Alabama"
1979,"Southeastern Conference","Alabama"
1980,"Southeastern Conference","Alabama"
1981,"Southeastern Conference","Alabama"
1982,"Southeastern Conference","Alabama"
1983,"Southeastern Conference","Alabama"
1984,"Southeastern Conference","Alabama"
1985,"Southeastern Conference","Alabama"
1986,"Southeastern Conference","Alabama"
1987,"Southeastern Conference","Alabama"
1988,"Southeastern Conference","Alabama"
1989,"Southeastern Conference","Alabama"
1990,"Southeastern Conference","Alabama"
1991,"Southeastern Conference","Alabama"
1992,"Southeastern Conference","Alabama"
1993,"Southeastern Conference","Alabama"
1994,"Southeastern Conference","Alabama"
1995,"Southeastern Conference","Alabama"
1996,"Southeastern Conference","Alabama"
1997,"Southeastern Conference","Alabama"
1998,"Southeastern Conference","Alabama"
1999,"Southeastern Conference","Alabama"
2000,"Southeastern Conference","Alabama"
2001,"Southeastern Conference","Alabama"
2002,"Southeastern Conference","Alabama"
2003,"Southeastern Conference","Alabama"
2004,"Southeastern Conference","Alabama"
2005,"Southeastern Conference","Alabama"
2006,"Southeastern Conference","Alabama"
2007,"Southeastern Conference","Alabama"
2008,"Southeastern Conference","Alabama"
2009,"Southeastern Conference","Alabama"
2010,"Southeastern Conference","Alabama"
2011,"Southeastern Conference","Alabama"
2012,"Southeastern Conference","Alabama"
2013,"Southeastern Conference","Alabama"
1991,"Division III Independent","Alabama-Birmingham"
1992,"Division III Independent","Alabama-Birmingham"
1993,"Division I-AA Independent","Alabama-Birmingham"
1994,"Division I-AA Independent","Alabama-Birmingham"
1995,"Division I-AA Independent","Alabama-Birmingham"
1996,"Division I-A Independent","Alabama-Birmingham"
1997,"Division I-A Independent","Alabama-Birmingham"
1998,"Division I-A Independent","Alabama-Birmingham"
1999,"Conference USA","Alabama-Birmingham"
2000,"Conference USA","Alabama-Birmingham"
2001,"Conference USA","Alabama-Birmingham"
2002,"Conference USA","Alabama-Birmingham"
2003,"Conference USA","Alabama-Birmingham"
2004,"Conference USA","Alabama-Birmingham"
2005,"Conference USA","Alabama-Birmingham"
2006,"Conference USA","Alabama-Birmingham"
2007,"Conference USA","Alabama-Birmingham"
2008,"Conference USA","Alabama-Birmingham"
2009,"Conference USA","Alabama-Birmingham"
2010,"Conference USA","Alabama-Birmingham"
2011,"Conference USA","Alabama-Birmingham"
2012,"Conference USA","Alabama-Birmingham"
2013,"Conference USA","Alabama-Birmingham"
1899,"Independent","Arizona"
1900,"Independent","Arizona"
1901,"Independent","Arizona"
1902,"Independent","Arizona"
1903,"Independent","Arizona"
1904,"Independent","Arizona"
1905,"Independent","Arizona"
1906,"Independent","Arizona"
1907,"Independent","Arizona"
1908,"Independent","Arizona"
1909,"Independent","Arizona"
1910,"Independent","Arizona"
1911,"Independent","Arizona"
1912,"Independent","Arizona"
1913,"Independent","Arizona"
1914,"Independent","Arizona"
1915,"Independent","Arizona"
1916,"Independent","Arizona"
1917,"Independent","Arizona"
1918,"Independent","Arizona"
1919,"Independent","Arizona"
1920,"Independent","Arizona"
1921,"Independent","Arizona"
1922,"Independent","Arizona"
1923,"Independent","Arizona"
1924,"Independent","Arizona"
1925,"Independent","Arizona"
1926,"Independent","Arizona"
1927,"Independent","Arizona"
1928,"Independent","Arizona"
1929,"Independent","Arizona"
1930,"Independent","Arizona"
1931,"Border Intercollegiate Athletic Association","Arizona"
1932,"Border Intercollegiate Athletic Association","Arizona"
1933,"Border Intercollegiate Athletic Association","Arizona"
1934,"Border Intercollegiate Athletic Association","Arizona"
1935,"Border Intercollegiate Athletic Association","Arizona"
1936,"Border Intercollegiate Athletic Association","Arizona"
1937,"Border Intercollegiate Athletic Association","Arizona"
1938,"Border Intercollegiate Athletic Association","Arizona"
1939,"Border Intercollegiate Athletic Association","Arizona"
1940,"Border Intercollegiate Athletic Association","Arizona"
1941,"Border Intercollegiate Athletic Association","Arizona"
1942,"Border Intercollegiate Athletic Association","Arizona"
1943,"Border Intercollegiate Athletic Association","Arizona"
1944,"Border Intercollegiate Athletic Association","Arizona"
1945,"Border Intercollegiate Athletic Association","Arizona"
1946,"Border Intercollegiate Athletic Association","Arizona"
1947,"Border Intercollegiate Athletic Association","Arizona"
1948,"Border Intercollegiate Athletic Association","Arizona"
1949,"Border Intercollegiate Athletic Association","Arizona"
1950,"Border Intercollegiate Athletic Association","Arizona"
1951,"Border Intercollegiate Athletic Association","Arizona"
1952,"Border Intercollegiate Athletic Association","Arizona"
1953,"Border Intercollegiate Athletic Association","Arizona"
1954,"Border Intercollegiate Athletic Association","Arizona"
1955,"Border Intercollegiate Athletic Association","Arizona"
1956,"Border Intercollegiate Athletic Association","Arizona"
1957,"Border Intercollegiate Athletic Association","Arizona"
1958,"Border Intercollegiate Athletic Association","Arizona"
1959,"Border Intercollegiate Athletic Association","Arizona"
1960,"Border Intercollegiate Athletic Association","Arizona"
1961,"Border Intercollegiate Athletic Association","Arizona"
1962,"Western Athletic Conference","Arizona"
1963,"Western Athletic Conference","Arizona"
1964,"Western Athletic Conference","Arizona"
1965,"Western Athletic Conference","Arizona"
1966,"Western Athletic Conference","Arizona"
1967,"Western Athletic Conference","Arizona"
1968,"Western Athletic Conference","Arizona"
1969,"Western Athletic Conference","Arizona"
1970,"Western Athletic Conference","Arizona"
1971,"Western Athletic Conference","Arizona"
1972,"Western Athletic Conference","Arizona"
1973,"Western Athletic Conference","Arizona"
1974,"Western Athletic Conference","Arizona"
1975,"Western Athletic Conference","Arizona"
1976,"Western Athletic Conference","Arizona"
1977,"Western Athletic Conference","Arizona"
1978,"Pacific-12 Conference","Arizona"
1979,"Pacific-12 Conference","Arizona"
1980,"Pacific-12 Conference","Arizona"
1981,"Pacific-12 Conference","Arizona"
1982,"Pacific-12 Conference","Arizona"
1983,"Pacific-12 Conference","Arizona"
1984,"Pacific-12 Conference","Arizona"
1985,"Pacific-12 Conference","Arizona"
1986,"Pacific-12 Conference","Arizona"
1987,"Pacific-12 Conference","Arizona"
1988,"Pacific-12 Conference","Arizona"
1989,"Pacific-12 Conference","Arizona"
1990,"Pacific-12 Conference","Arizona"
1991,"Pacific-12 Conference","Arizona"
1992,"Pacific-12 Conference","Arizona"
1993,"Pacific-12 Conference","Arizona"
1994,"Pacific-12 Conference","Arizona"
1995,"Pacific-12 Conference","Arizona"
1996,"Pacific-12 Conference","Arizona"
1997,"Pacific-12 Conference","Arizona"
1998,"Pacific-12 Conference","Arizona"
1999,"Pacific-12 Conference","Arizona"
2000,"Pacific-12 Conference","Arizona"
2001,"Pacific-12 Conference","Arizona"
2002,"Pacific-12 Conference","Arizona"
2003,"Pacific-12 Conference","Arizona"
2004,"Pacific-12 Conference","Arizona"
2005,"Pacific-12 Conference","Arizona"
2006,"Pacific-12 Conference","Arizona"
2007,"Pacific-12 Conference","Arizona"
2008,"Pacific-12 Conference","Arizona"
2009,"Pacific-12 Conference","Arizona"
2010,"Pacific-12 Conference","Arizona"
2011,"Pacific-12 Conference","Arizona"
2012,"Pacific-12 Conference","Arizona"
2013,"Pacific-12 Conference","Arizona"
1897,"Independent","Arizona St."
1898,"Independent","Arizona St."
1899,"Independent","Arizona St."
1900,"Independent","Arizona St."
1901,"Independent","Arizona St."
1902,"Independent","Arizona St."
1903,"Independent","Arizona St."
1904,"Independent","Arizona St."
1905,"Independent","Arizona St."
1906,"Independent","Arizona St."
1907,"Independent","Arizona St."
1908,"Independent","Arizona St."
1909,"Independent","Arizona St."
1910,"Independent","Arizona St."
1911,"Independent","Arizona St."
1912,"Independent","Arizona St."
1913,"Independent","Arizona St."
1914,"Independent","Arizona St."
1915,"Independent","Arizona St."
1916,"Independent","Arizona St."
1917,"Independent","Arizona St."
1918,"Independent","Arizona St."
1919,"Independent","Arizona St."
1920,"Independent","Arizona St."
1921,"Independent","Arizona St."
1922,"Independent","Arizona St."
1923,"Independent","Arizona St."
1924,"Independent","Arizona St."
1925,"Independent","Arizona St."
1926,"Independent","Arizona St."
1927,"Independent","Arizona St."
1928,"Independent","Arizona St."
1929,"Independent","Arizona St."
1930,"Independent","Arizona St."
1931,"Border Intercollegiate Athletic Association","Arizona St."
1932,"Border Intercollegiate Athletic Association","Arizona St."
1933,"Border Intercollegiate Athletic Association","Arizona St."
1934,"Border Intercollegiate Athletic Association","Arizona St."
1935,"Border Intercollegiate Athletic Association","Arizona St."
1936,"Border Intercollegiate Athletic Association","Arizona St."
1937,"Border Intercollegiate Athletic Association","Arizona St."
1938,"Border Intercollegiate Athletic Association","Arizona St."
1939,"Border Intercollegiate Athletic Association","Arizona St."
1940,"Border Intercollegiate Athletic Association","Arizona St."
1941,"Border Intercollegiate Athletic Association","Arizona St."
1942,"Border Intercollegiate Athletic Association","Arizona St."
1943,"Border Intercollegiate Athletic Association","Arizona St."
1944,"Border Intercollegiate Athletic Association","Arizona St."
1945,"Border Intercollegiate Athletic Association","Arizona St."
1946,"Border Intercollegiate Athletic Association","Arizona St."
1947,"Border Intercollegiate Athletic Association","Arizona St."
1948,"Border Intercollegiate Athletic Association","Arizona St."
1949,"Border Intercollegiate Athletic Association","Arizona St."
1950,"Border Intercollegiate Athletic Association","Arizona St."
1951,"Border Intercollegiate Athletic Association","Arizona St."
1952,"Border Intercollegiate Athletic Association","Arizona St."
1953,"Border Intercollegiate Athletic Association","Arizona St."
1954,"Border Intercollegiate Athletic Association","Arizona St."
1955,"Border Intercollegiate Athletic Association","Arizona St."
1956,"Border Intercollegiate Athletic Association","Arizona St."
1957,"Border Intercollegiate Athletic Association","Arizona St."
1958,"Border Intercollegiate Athletic Association","Arizona St."
1959,"Border Intercollegiate Athletic Association","Arizona St."
1960,"Border Intercollegiate Athletic Association","Arizona St."
1961,"Border Intercollegiate Athletic Association","Arizona St."
1962,"Western Athletic Conference","Arizona St."
1963,"Western Athletic Conference","Arizona St."
1964,"Western Athletic Conference","Arizona St."
1965,"Western Athletic Conference","Arizona St."
1966,"Western Athletic Conference","Arizona St."
1967,"Western Athletic Conference","Arizona St."
1968,"Western Athletic Conference","Arizona St."
1969,"Western Athletic Conference","Arizona St."
1970,"Western Athletic Conference","Arizona St."
1971,"Western Athletic Conference","Arizona St."
1972,"Western Athletic Conference","Arizona St."
1973,"Western Athletic Conference","Arizona St."
1974,"Western Athletic Conference","Arizona St."
1975,"Western Athletic Conference","Arizona St."
1976,"Western Athletic Conference","Arizona St."
1977,"Western Athletic Conference","Arizona St."
1978,"Pacific-12 Conference","Arizona St."
1979,"Pacific-12 Conference","Arizona St."
1980,"Pacific-12 Conference","Arizona St."
1981,"Pacific-12 Conference","Arizona St."
1982,"Pacific-12 Conference","Arizona St."
1983,"Pacific-12 Conference","Arizona St."
1984,"Pacific-12 Conference","Arizona St."
1985,"Pacific-12 Conference","Arizona St."
1986,"Pacific-12 Conference","Arizona St."
1987,"Pacific-12 Conference","Arizona St."
1988,"Pacific-12 Conference","Arizona St."
1989,"Pacific-12 Conference","Arizona St."
1990,"Pacific-12 Conference","Arizona St."
1991,"Pacific-12 Conference","Arizona St."
1992,"Pacific-12 Conference","Arizona St."
1993,"Pacific-12 Conference","Arizona St."
1994,"Pacific-12 Conference","Arizona St."
1995,"Pacific-12 Conference","Arizona St."
1996,"Pacific-12 Conference","Arizona St."
1997,"Pacific-12 Conference","Arizona St."
1998,"Pacific-12 Conference","Arizona St."
1999,"Pacific-12 Conference","Arizona St."
2000,"Pacific-12 Conference","Arizona St."
2001,"Pacific-12 Conference","Arizona St."
2002,"Pacific-12 Conference","Arizona St."
2003,"Pacific-12 Conference","Arizona St."
2004,"Pacific-12 Conference","Arizona St."
2005,"Pacific-12 Conference","Arizona St."
2006,"Pacific-12 Conference","Arizona St."
2007,"Pacific-12 Conference","Arizona St."
2008,"Pacific-12 Conference","Arizona St."
2009,"Pacific-12 Conference","Arizona St."
2010,"Pacific-12 Conference","Arizona St."
2011,"Pacific-12 Conference","Arizona St."
2012,"Pacific-12 Conference","Arizona St."
2013,"Pacific-12 Conference","Arizona St."
1894,"Independent","Arkansas"
1895,"Independent","Arkansas"
1896,"Independent","Arkansas"
1897,"Independent","Arkansas"
1898,"Independent","Arkansas"
1899,"Independent","Arkansas"
1900,"Independent","Arkansas"
1901,"Independent","Arkansas"
1902,"Independent","Arkansas"
1903,"Independent","Arkansas"
1904,"Independent","Arkansas"
1905,"Independent","Arkansas"
1906,"Independent","Arkansas"
1907,"Independent","Arkansas"
1908,"Independent","Arkansas"
1909,"Independent","Arkansas"
1910,"Independent","Arkansas"
1911,"Independent","Arkansas"
1912,"Independent","Arkansas"
1913,"Independent","Arkansas"
1914,"Independent","Arkansas"
1915,"Southwest Conference","Arkansas"
1916,"Southwest Conference","Arkansas"
1917,"Southwest Conference","Arkansas"
1918,"Southwest Conference","Arkansas"
1919,"Southwest Conference","Arkansas"
1920,"Southwest Conference","Arkansas"
1921,"Southwest Conference","Arkansas"
1922,"Southwest Conference","Arkansas"
1923,"Southwest Conference","Arkansas"
1924,"Southwest Conference","Arkansas"
1925,"Southwest Conference","Arkansas"
1926,"Southwest Conference","Arkansas"
1927,"Southwest Conference","Arkansas"
1928,"Southwest Conference","Arkansas"
1929,"Southwest Conference","Arkansas"
1930,"Southwest Conference","Arkansas"
1931,"Southwest Conference","Arkansas"
1932,"Southwest Conference","Arkansas"
1933,"Southwest Conference","Arkansas"
1934,"Southwest Conference","Arkansas"
1935,"Southwest Conference","Arkansas"
1936,"Southwest Conference","Arkansas"
1937,"Southwest Conference","Arkansas"
1938,"Southwest Conference","Arkansas"
1939,"Southwest Conference","Arkansas"
1940,"Southwest Conference","Arkansas"
1941,"Southwest Conference","Arkansas"
1942,"Southwest Conference","Arkansas"
1943,"Southwest Conference","Arkansas"
1944,"Southwest Conference","Arkansas"
1945,"Southwest Conference","Arkansas"
1946,"Southwest Conference","Arkansas"
1947,"Southwest Conference","Arkansas"
1948,"Southwest Conference","Arkansas"
1949,"Southwest Conference","Arkansas"
1950,"Southwest Conference","Arkansas"
1951,"Southwest Conference","Arkansas"
1952,"Southwest Conference","Arkansas"
1953,"Southwest Conference","Arkansas"
1954,"Southwest Conference","Arkansas"
1955,"Southwest Conference","Arkansas"
1956,"Southwest Conference","Arkansas"
1957,"Southwest Conference","Arkansas"
1958,"Southwest Conference","Arkansas"
1959,"Southwest Conference","Arkansas"
1960,"Southwest Conference","Arkansas"
1961,"Southwest Conference","Arkansas"
1962,"Southwest Conference","Arkansas"
1963,"Southwest Conference","Arkansas"
1964,"Southwest Conference","Arkansas"
1965,"Southwest Conference","Arkansas"
1966,"Southwest Conference","Arkansas"
1967,"Southwest Conference","Arkansas"
1968,"Southwest Conference","Arkansas"
1969,"Southwest Conference","Arkansas"
1970,"Southwest Conference","Arkansas"
1971,"Southwest Conference","Arkansas"
1972,"Southwest Conference","Arkansas"
1973,"Southwest Conference","Arkansas"
1974,"Southwest Conference","Arkansas"
1975,"Southwest Conference","Arkansas"
1976,"Southwest Conference","Arkansas"
1977,"Southwest Conference","Arkansas"
1978,"Southwest Conference","Arkansas"
1979,"Southwest Conference","Arkansas"
1980,"Southwest Conference","Arkansas"
1981,"Southwest Conference","Arkansas"
1982,"Southwest Conference","Arkansas"
1983,"Southwest Conference","Arkansas"
1984,"Southwest Conference","Arkansas"
1985,"Southwest Conference","Arkansas"
1986,"Southwest Conference","Arkansas"
1987,"Southwest Conference","Arkansas"
1988,"Southwest Conference","Arkansas"
1989,"Southwest Conference","Arkansas"
1990,"Southwest Conference","Arkansas"
1991,"Southwest Conference","Arkansas"
1992,"Southeastern Conference","Arkansas"
1993,"Southeastern Conference","Arkansas"
1994,"Southeastern Conference","Arkansas"
1995,"Southeastern Conference","Arkansas"
1996,"Southeastern Conference","Arkansas"
1997,"Southeastern Conference","Arkansas"
1998,"Southeastern Conference","Arkansas"
1999,"Southeastern Conference","Arkansas"
2000,"Southeastern Conference","Arkansas"
2001,"Southeastern Conference","Arkansas"
2002,"Southeastern Conference","Arkansas"
2003,"Southeastern Conference","Arkansas"
2004,"Southeastern Conference","Arkansas"
2005,"Southeastern Conference","Arkansas"
2006,"Southeastern Conference","Arkansas"
2007,"Southeastern Conference","Arkansas"
2008,"Southeastern Conference","Arkansas"
2009,"Southeastern Conference","Arkansas"
2010,"Southeastern Conference","Arkansas"
2011,"Southeastern Conference","Arkansas"
2012,"Southeastern Conference","Arkansas"
2013,"Southeastern Conference","Arkansas"
1911,"Independent","Arkansas St."
1912,"Independent","Arkansas St."
